編號,案類,發生(現)日期,發生時段,發生(現)地點
799,自行車竊盜,1060222,07~09,台北市大安區敦安里仁愛路4段122巷
800,自行車竊盜,1060223,13~15,台北市中正區南福里羅斯福路1段61 ~ 90號
801,自行車竊盜,1060226,19~21,台北市萬華區廣州街211 ~ 240號
802,自行車竊盜,1060227,16~18,台北市萬華區西門節運一號出口
803,自行車竊盜,1060228,10~12,台北市萬華區康定路74巷2弄1 ~ 30號
804,自行車竊盜,1060228,19~21,台北市大安區福住里新生南路2段31 ~ 60號
805,自行車竊盜,1060301,07~09,台北市中正區黎明里常德街1 ~ 30號
806,自行車竊盜,1060301,13~15,台北市南港區西新里向陽路31 ~ 60號
807,自行車竊盜,1060301,19~21,台北市文山區景行里羅斯福路6段401巷
808,自行車竊盜,1060303,19~21,台北市士林區福林里18鄰中正路235巷31 ~ 60號
809,自行車竊盜,1060304,16~18,台北市大同區大有里安西街21巷1 ~ 30號
810,自行車竊盜,1060305,07~09,台北市信義區五全里永吉路278巷57弄1 ~ 30號
811,自行車竊盜,1060307,01~03,台北市大安區義安里信義路4段186巷
812,自行車竊盜,1060308,22~24,台北市南港區中南里市民大道8段541 ~ 570號
813,自行車竊盜,1060311,16~18,台北市北投區石牌里西安街1段明德捷運站旁腳踏車停車格
814,自行車竊盜,1060312,07~09,台北市文山區政大里020鄰萬壽路61 ~ 90號
815,自行車竊盜,1060313,22~24,台北市內湖區成功路2段115巷47弄31 ~ 60號
816,自行車竊盜,1060314,13~15,台北市萬華區康定路271 ~ 300號
817,自行車竊盜,1060315,10~12,台北市大安區龍泉里泰順街44巷1 ~ 30號
818,自行車竊盜,1060315,16~18,台北市大同區隆和里延平北路3段景化街口
819,自行車竊盜,1060316,10~12,台北市南港區東明里南港路2段31 ~ 60號
820,自行車竊盜,1060317,10~12,台北市大安區學府里羅斯福路4段1 ~ 30號
821,自行車竊盜,1060322,13~15,台北市大同區保安里重慶北路3段313巷1 ~ 30號
822,自行車竊盜,1060322,19~21,台北市北投區桃源里中央北路3段53巷1 ~ 30號
823,自行車竊盜,1060325,19~21,台北市大安區學府里羅斯福路4段113巷1 ~ 30號
824,自行車竊盜,1060328,16~18,台北市士林區義信里1鄰中山北路5段61 ~ 90號
825,自行車竊盜,1060329,10~12,台北市大同區保安里承德路3段庫倫街
826,自行車竊盜,1060401,19~21,台北市北投區建民里文林北路31 ~ 60號
827,自行車竊盜,1060402,07~09,台北市大安區光明里信義路與杭州南路口
828,自行車竊盜,1060403,13~15,台北市士林區承德里中山北路5段61 ~ 90號劍潭捷運站2號出口
